time,position 0,position 1,position 2,position 3,position 4,position 5,position 6,position 7,position 8,position 9
12039.0,"(245.04751292135663, 477.6406141569096)","(325.8933592141445, 240.9429063852894)","(1121.1699313763638, 322.00645985070935)","(1063.851819318921, 281.600305688546)","(581.9721556091109, 349.6612142136942)","(1359.281203626551, 823.1387150468885)","(484.2016647359018, 498.53419537057425)","(837.0114814437047, 574.1971576126886)","(908.3307227828428, 396.93362100035796)","(1084.5804949856308, 939.1060767474305)"
12040.0,"(245.28789942235443, 477.57195317717554)","(325.7393630166818, 240.74596687384735)","(1120.9685012550622, 322.1545338397569)","(1063.6599336950474, 281.76055520445993)","(582.0466762112674, 349.89984924853667)","(1359.4256653067748, 823.342751374406)","(484.4445398529953, 498.4749359620655)","(837.0849726313372, 573.958203547353)","(908.5806990811528, 396.937063424392)","(1084.5325925107027, 939.1655463636934)"
12041.0,"(245.52828592335223, 477.5032921974415)","(325.58536681921913, 240.5490273624053)","(1120.7670711337607, 322.3026078288044)","(1063.4680480711738, 281.9208047203739)","(582.1211968134238, 350.1384842833791)","(1359.570126986999, 823.5467877019236)","(484.68741497008887, 498.41567655355675)","(837.1584638189697, 573.7192494820175)","(908.8306753794628, 396.94050584842614)","(1084.4849295481492, 939.2247186318749)"
12042.0,"(245.76867242435003, 477.4346312177075)","(325.43137062175646, 240.35208785096324)","(1120.565641012459, 322.45068181785194)","(1063.2761624473003, 282.08105423628786)","(582.1957174155802, 350.37711931822156)","(1359.7145886672229, 823.7508240294411)","(484.9302900871824, 498.356417145048)","(837.2319550066022, 573.480295416682)","(909.0806516777728, 396.9439482724602)","(1084.4375049004084, 939.2835950387156)"
12043.0,"(246.00905892534783, 477.36597023797344)","(325.2773744242938, 240.1551483395212)","(1120.3642108911577, 322.5987558068995)","(1063.0842768234268, 282.2413037522018)","(582.2702380177367, 350.615754353064)","(1359.859050347447, 823.9548603569586)","(485.17316520427596, 498.29715773653925)","(837.3054461942347, 573.2413413513465)","(909.3306279760828, 396.9473906964943)","(1084.3903173759063, 939.3421770635221)"
12044.0,"(246.24944542634563, 477.2973092582394)","(325.1233782268311, 239.95820882807914)","(1120.162780769856, 322.746829795947)","(1062.8923911995532, 282.4015532681158)","(582.3447586198931, 350.85438938790645)","(1360.003512027671, 824.1588966844762)","(485.4160403213695, 498.2378983280305)","(837.3789373818672, 573.002387286011)","(909.5806042743928, 396.9508331205284)","(1084.3433657890268, 939.4004661782044)"
12045.0,"(246.48983192734343, 477.2286482785054)","(324.96938202936843, 239.76126931663708)","(1119.9613506485543, 322.89490378499454)","(1062.7005055756797, 282.56180278402974)","(582.4192792220496, 351.0930244227489)","(1360.147973707895, 824.3629330119937)","(485.65891543846305, 498.17863891952175)","(837.4524285694997, 572.7634332206754)","(909.8305805727028, 396.9542755445625)","(1084.2966489600817, 939.4584638473134)"
12046.0,"(246.73021842834123, 477.15998729877134)","(324.81538583190576, 239.56432980519503)","(1119.759920527253, 323.0429777740421)","(1062.5086199518062, 282.7220522999437)","(582.493799824206, 351.33165945759134)","(1360.292435388119, 824.5669693395113)","(485.9017905555566, 498.119379511013)","(837.5259197571322, 572.5244791553399)","(910.0805568710128, 396.95771796859657)","(1084.2501657152814, 939.5161715280768)"
12047.0,"(246.97060492933903, 477.0913263190373)","(324.6613896344431, 239.36739029375298)","(1119.5584904059513, 323.1910517630896)","(1062.3167343279326, 282.88230181585766)","(582.5683204263624, 351.5702944924338)","(1360.4368970683431, 824.7710056670288)","(486.14466567265015, 498.06012010250424)","(837.5994109447647, 572.2855250900044)","(910.3305331693228, 396.9611603926307)","(1084.203914886705, 939.5735906704365)"
12048.0,"(247.21099143033683, 477.0226653393033)","(324.5073934369804, 239.17045078231092)","(1119.3570602846498, 323.33912575213714)","(1062.124848704059, 283.0425513317716)","(582.6428410285189, 351.80892952727623)","(1360.581358748567, 824.9750419945464)","(486.3875407897437, 498.0008606939955)","(837.6729021323972, 572.0465710246689)","(910.5805094676329, 396.96460281666475)","(1084.1578953122714, 939.6307227170843)"
12049.0,"(247.45137793133463, 476.95400435956924)","(324.35339723951773, 238.97351127086887)","(1119.1556301633482, 323.48719974118467)","(1061.9329630801856, 283.2028008476856)","(582.7173616306753, 352.0475645621187)","(1360.725820428791, 825.1790783220639)","(486.63041590683724, 497.94160128548674)","(837.7463933200297, 571.8076169593334)","(910.8304857659429, 396.96804524069887)","(1084.11210583571, 939.6875691034988)"
