3,0.290192,1443
3,1.429108,2127
3,0.755932,1661
3,1.231925,2107
3,1.164187,2298
3,0.387353,916
3,0.342571,1814
3,1.280894,2233
3,1.707534,2336
3,1.214793,2293
5,2.673567,2584
5,1.761919,2314
5,3.69607,3342
5,2.643138,2531
5,1.657829,1844
5,0.6474,2434
5,1.214406,1779
5,3.448925,2447
5,1.258335,2015
5,2.176129,2327
10,6.659677,1980
10,2.978911,2075
10,3.981119,1578
10,7.255868,2451
10,4.585711,1762
10,5.488055,1835
10,7.558995,1876
10,4.565703,2149
10,7.489925,2375
10,7.529845,2198
20,40.032871,2251
20,30.480708,1518
20,62.272894,2669
20,29.751489,1393
20,38.258788,1782
20,67.786032,2439
20,33.761925,1799
20,43.994816,1657
20,39.46549,2002
20,51.380585,2432
50,402.644054,2015
50,307.575152,2075
50,532.236221,3202
50,330.404496,1722
50,490.208122,2266
50,1179.599767,2965
50,440.304833,2387
50,282.01327,1504
50,488.986533,1982
50,367.040317,2235
3,1.106385,2364
5,1.31756,1588
10,5.711681,2386
20,26.668226,1744
50,417.169133,2210
3,0.405882,2004
5,1.396234,2238
10,9.28845,2276
20,60.181449,2875
50,699.552957,2245
3,1.669871,2667
3,0.873605,1801
3,1.420021,2716
3,2.359883,4033
3,0.988653,1977
5,2.511611,2516
5,5.550847,4219
5,1.761041,2022
5,3.086409,2614
5,1.420722,1955
10,10.343203,2575
10,4.131836,1688
10,4.013433,1654
10,8.619914,1811
10,13.450753,2550
20,28.75097,1460
20,62.894848,2228
20,45.600675,1559
20,32.373845,1642
20,47.998639,2080
50,450.858551,2420
50,356.062196,2155
50,349.024292,2379
50,382.019351,2261
50,257.116276,1388
3,1.396293,2667
3,1.046824,1905
3,2.497218,3647
3,0.860053,2006
3,1.469707,2539
3,0.550731,2738
3,1.098471,2207
3,0.84606,1872
3,1.007743,2272
3,1.430252,2521
5,1.254906,2022
5,2.069781,2234
5,3.495846,2623
5,0.490697,1914
5,1.010157,1490
5,1.896517,2058
5,2.291306,2043
5,1.248129,1761
5,1.109622,1866
5,1.74084,2197
10,7.669655,2113
10,6.845829,2049
10,2.928338,1806
10,3.405874,1552
10,4.901957,1560
10,7.768809,2368
10,7.835237,2312
10,7.244603,1970
10,7.921759,2986
10,3.934804,1925
20,25.318385,1346
20,36.777812,1685
20,46.154505,2074
20,37.457786,1790
20,25.504758,1797
20,39.241542,1629
20,60.120428,2951
20,37.410657,2316
20,54.606783,2805
20,45.05191,2208
50,450.034729,2154
50,387.29746,1974
50,463.481081,2021
50,274.108775,2009
50,567.762286,2096
50,782.99622,2831
50,579.589474,2175
50,324.319049,1634
50,686.846433,2423
50,634.62581,2019
