time,position 0,position 1,position 2
500.0,"(763.0417323211207, 764.9836643029213)","(320.3154485714351, 783.6884852970272)","(410.2772387276666, 167.13779493564664)"
501.0,"(763.2917281636994, 764.9822225354878)","(320.36887132857794, 783.7350428705421)","(410.4289308446648, 166.93907527974767)"
502.0,"(763.5417240062782, 764.9807807680544)","(320.42202697193505, 783.7813676561893)","(410.58062296166304, 166.7403556238487)"
503.0,"(763.7917198488569, 764.9793390006209)","(320.4749168370754, 783.8274608179083)","(410.73231507866126, 166.54163596794973)"
504.0,"(764.0417156914357, 764.9778972331875)","(320.52754225289004, 783.8733235138188)","(410.8840071956595, 166.3429163120508)"
505.0,"(764.2917115340144, 764.976455465754)","(320.5799045416256, 783.9189568962497)","(411.0356993126577, 166.14419665615185)"
506.0,"(764.5417073765932, 764.9750136983206)","(320.6320050189174, 783.9643621117684)","(411.1873914296559, 165.94547700025288)"
507.0,"(764.791703219172, 764.9735719308871)","(320.68384499382285, 784.0095403012095)","(411.33908354665414, 165.7467573443539)"
508.0,"(765.0416990617507, 764.9721301634537)","(320.73542576885376, 784.0544925997035)","(411.49077566365236, 165.54803768845497)"
509.0,"(765.2916949043295, 764.9706883960203)","(320.7867486400095, 784.099220136705)","(411.6424677806506, 165.34931803255603)"
510.0,"(765.5416907469082, 764.9692466285868)","(320.83781489680945, 784.1437240360215)","(411.7941598976488, 165.15059837665706)"
511.0,"(765.791686589487, 764.9678048611534)","(320.8886258223254, 784.1880054158414)","(411.945852014647, 164.9518787207581)"
512.0,"(766.0416824320657, 764.9663630937199)","(320.9391826932138, 784.2320653887622)","(412.09754413164524, 164.75315906485915)"
513.0,"(766.2916782746445, 764.9649213262865)","(320.9894867797477, 784.2759050618183)","(412.24923624864346, 164.55443940896018)"
514.0,"(766.5416741172232, 764.963479558853)","(321.039539345849, 784.3195255365092)","(412.4009283656417, 164.3557197530612)"
515.0,"(766.791669959802, 764.9620377914196)","(321.0893416491198, 784.3629279088267)","(412.5526204826399, 164.15700009716227)"
516.0,"(767.0416658023807, 764.9605960239861)","(321.1388949408742, 784.4061132692825)","(412.7043125996381, 163.9582804412633)"
517.0,"(767.2916616449595, 764.9591542565527)","(321.1882004661698, 784.4490827029362)","(412.85600471663633, 163.75956078536433)"
518.0,"(767.5416574875383, 764.9577124891192)","(321.23725946383894, 784.4918372894215)","(413.00769683363455, 163.56084112946536)"
519.0,"(767.791653330117, 764.9562707216858)","(321.28607316651977, 784.5343781029744)","(413.1593889506328, 163.3621214735664)"
520.0,"(768.0416491726958, 764.9548289542523)","(321.33464280068716, 784.5767062124595)","(413.311081067631, 163.16340181766745)"
521.0,"(768.2916450152745, 764.9533871868189)","(321.3829695866837, 784.6188226813972)","(413.4627731846292, 162.9646821617685)"
522.0,"(768.5416408578533, 764.9519454193854)","(321.4310547387503, 784.6607285679902)","(413.61446530162743, 162.76596250586954)"
523.0,"(768.791636700432, 764.950503651952)","(321.47889946505654, 784.7024249251502)","(413.76615741862565, 162.56724284997057)"
524.0,"(769.0416325430108, 764.9490618845185)","(321.5265049677313, 784.7439128005245)","(413.9178495356239, 162.36852319407163)"
525.0,"(769.2916283855895, 764.9476201170851)","(321.57387244289265, 784.7851932365219)","(414.0695416526221, 162.1698035381727)"
526.0,"(769.5416242281683, 764.9461783496516)","(321.6210030806782, 784.8262672703393)","(414.2212337696203, 161.97108388227372)"
527.0,"(769.7916200707471, 764.9447365822182)","(321.6678980652748, 784.8671359339876)","(414.37292588661853, 161.77236422637475)"
528.0,"(770.0416159133258, 764.9432948147847)","(321.71455857494846, 784.9078002543176)","(414.52461800361675, 161.5736445704758)"
529.0,"(770.2916117559046, 764.9418530473513)","(321.7609857820737, 784.9482612530461)","(414.67631012061497, 161.37492491457687)"
530.0,"(770.5416075984833, 764.9404112799178)","(321.80718085316335, 784.9885199467809)","(414.8280022376132, 161.1762052586779)"
531.0,"(770.7916034410621, 764.9389695124844)","(321.8531449488975, 785.028577347047)","(414.9796943546114, 160.97748560277893)"
532.0,"(771.0415992836408, 764.9375277450509)","(321.89887922415306, 785.0684344603118)","(415.13138647160963, 160.77876594687996)"
533.0,"(771.2915951262196, 764.9360859776175)","(321.9443848280323, 785.1080922880102)","(415.28307858860785, 160.580046290981)"
534.0,"(771.5415909687983, 764.934644210184)","(321.9896629038921, 785.1475518265702)","(415.43477070560607, 160.38132663508202)"
535.0,"(771.7915868113771, 764.9332024427506)","(322.03471458937264, 785.1868140674374)","(415.5864628226043, 160.18260697918308)"
536.0,"(772.0415826539559, 764.9317606753172)","(322.07954101642576, 785.2258799971002)","(415.7381549396025, 159.98388732328414)"
537.0,"(772.2915784965346, 764.9303189078837)","(322.12414331134363, 785.2647505971147)","(415.88984705660073, 159.78516766738517)"
538.0,"(772.5415743391134, 764.9288771404503)","(322.1685225947869, 785.3034268441291)","(416.04153917359895, 159.5864480114862)"
539.0,"(772.7915701816921, 764.9274353730168)","(322.212679981813, 785.3419097099085)","(416.19323129059717, 159.38772835558723)"
540.0,"(773.0415660242709, 764.9259936055834)","(322.2566165819039, 785.380200161359)","(416.3449234075954, 159.1890086996883)"
541.0,"(773.2915618668496, 764.9245518381499)","(322.3003334989944, 785.4182991605521)","(416.4966155245936, 158.99028904378935)"
542.0,"(773.5415577094284, 764.9231100707165)","(322.3438318314994, 785.4562076647494)","(416.6483076415918, 158.79156938789038)"
543.0,"(773.7915535520071, 764.921668303283)","(322.3871126723419, 785.4939266264256)","(416.79999975859005, 158.5928497319914)"
544.0,"(774.0415493945859, 764.9202265358496)","(322.4301771089802, 785.5314569932934)","(416.95169187558827, 158.39413007609247)"
545.0,"(774.2915452371647, 764.9187847684161)","(322.47302622343534, 785.568799708327)","(417.1033839925865, 158.1954104201935)"
546.0,"(774.5415410797434, 764.9173430009827)","(322.51566109231817, 785.6059557097853)","(417.2550761095847, 157.99669076429453)"
547.0,"(774.7915369223222, 764.9159012335492)","(322.5580827868566, 785.6429259312364)","(417.4067682265829, 157.7979711083956)"
548.0,"(775.0415327649009, 764.9144594661158)","(322.6002923729223, 785.6797113015803)","(417.55846034358115, 157.59925145249662)"
549.0,"(775.2915286074797, 764.9130176986823)","(322.64229091105767, 785.7163127450724)","(417.71015246057937, 157.40053179659765)"
550.0,"(775.5415244500584, 764.9115759312489)","(322.6840794565024, 785.752731181347)","(417.8618445775776, 157.20181214069868)"
551.0,"(775.7915202926372, 764.9101341638154)","(322.7256590592199, 785.7889675254403)","(418.0135366945758, 157.00309248479974)"
552.0,"(776.0415161352159, 764.908692396382)","(322.7670307639238, 785.8250226878131)","(418.165228811574, 156.8043728289008)"
553.0,"(776.2915119777947, 764.9072506289485)","(322.8081956101042, 785.860897574374)","(418.31692092857224, 156.60565317300183)"
554.0,"(776.5415078203735, 764.9058088615151)","(322.8491546320537, 785.8965930865021)","(418.46861304557046, 156.40693351710286)"
555.0,"(776.7915036629522, 764.9043670940816)","(322.8899088588934, 785.9321101210696)","(418.6203051625687, 156.20821386120392)"
556.0,"(777.041499505531, 764.9029253266482)","(322.930459314599, 785.9674495704643)","(418.7719972795669, 156.00949420530497)"
557.0,"(777.2914953481097, 764.9014835592147)","(322.970807018026, 786.002612322612)","(418.9236893965651, 155.810774549406)"
558.0,"(777.5414911906885, 764.9000417917813)","(323.01095298293586, 786.037599260999)","(419.07538151356334, 155.61205489350704)"
559.0,"(777.7914870332672, 764.8986000243478)","(323.0508982180212, 786.072411264694)","(419.22707363056156, 155.4133352376081)"
560.0,"(778.041482875846, 764.8971582569144)","(323.0906437269311, 786.1070492083705)","(419.3787657475598, 155.21461558170915)"
561.0,"(778.2914787184247, 764.895716489481)","(323.13019050829644, 786.1415139623286)","(419.530457864558, 155.01589592581018)"
562.0,"(778.5414745610035, 764.8942747220475)","(323.16953955575497, 786.175806392517)","(419.6821499815562, 154.81717626991122)"
563.0,"(778.7914704035823, 764.892832954614)","(323.2086918579762, 786.2099273605544)","(419.83384209855444, 154.61845661401225)"
564.0,"(779.041466246161, 764.8913911871806)","(323.2476483986863, 786.2438777237517)","(419.98553421555266, 154.41973695811328)"
565.0,"(779.2914620887398, 764.8899494197472)","(323.28641015669285, 786.2776583351329)","(420.1372263325509, 154.22101730221434)"
566.0,"(779.5414579313185, 764.8885076523137)","(323.3249781059094, 786.3112700434572)","(420.2889184495491, 154.02229764631537)"
567.0,"(779.7914537738973, 764.8870658848803)","(323.36335321537985, 786.3447136932399)","(420.4406105665473, 153.82357799041642)"
568.0,"(780.041449616476, 764.8856241174468)","(323.40153644930297, 786.3779901247736)","(420.59230268354554, 153.62485833451746)"
569.0,"(780.2914454590548, 764.8841823500134)","(323.43952876705646, 786.4111001741497)","(420.74399480054376, 153.42613867861849)"
570.0,"(780.5414413016335, 764.8827405825799)","(323.4773311232212, 786.444044673279)","(420.895686917542, 153.22741902271952)"
571.0,"(780.7914371442123, 764.8812988151465)","(323.5199339143328, 786.4272201476607)","(421.0473790345402, 153.02869936682058)"
572.0,"(781.041432986791, 764.879857047713)","(323.56733279490714, 786.3606261783459)","(421.1990711515384, 152.82997971092163)"
573.0,"(781.2914288293698, 764.8784152802796)","(323.6195234185196, 786.2442623466778)","(421.35076326853664, 152.63126005502266)"
574.0,"(781.5414246719486, 764.8769735128461)","(323.6765014368866, 786.0781282342042)","(421.50245538553486, 152.4325403991237)"
575.0,"(781.7914205145273, 764.8755317454127)","(323.73826249894574, 785.8622234225891)","(421.6541475025331, 152.23382074322475)"
576.0,"(782.0414163571061, 764.8740899779792)","(323.80249145169694, 785.6206149756579)","(421.8058396195313, 152.03510108732578)"
577.0,"(782.2914121996848, 764.8726482105458)","(323.86672040444813, 785.3790065287267)","(421.9575317365295, 151.83638143142684)"
578.0,"(782.5414080422636, 764.8712064431123)","(323.9309493571993, 785.1373980817955)","(422.10922385352774, 151.63766177552787)"
579.0,"(782.7914038848423, 764.8697646756789)","(323.9951783099505, 784.8957896348643)","(422.26091597052596, 151.4389421196289)"
580.0,"(783.0413997274211, 764.8683229082454)","(324.0594072627017, 784.6541811879331)","(422.4126080875242, 151.24022246372994)"
581.0,"(783.2913955699998, 764.866881140812)","(324.1236362154529, 784.4125727410019)","(422.5643002045224, 151.041502807831)"
582.0,"(783.5413914125786, 764.8654393733785)","(324.1878651682041, 784.1709642940707)","(422.7159923215206, 150.84278315193205)"
583.0,"(783.7913872551574, 764.8639976059451)","(324.2520941209553, 783.9293558471395)","(422.86768443851884, 150.64406349603308)"
584.0,"(784.0413830977361, 764.8625558385116)","(324.3163230737065, 783.6877474002083)","(423.01937655551706, 150.44534384013411)"
585.0,"(784.2913789403149, 764.8611140710782)","(324.3805520264577, 783.4461389532771)","(423.1710686725153, 150.24662418423515)"
586.0,"(784.5413747828936, 764.8596723036447)","(324.4447809792089, 783.2045305063459)","(423.3227607895135, 150.0479045283362)"
587.0,"(784.7913706254724, 764.8582305362113)","(324.50900993196007, 782.9629220594147)","(423.4744529065117, 149.84918487243726)"
588.0,"(785.0413664680511, 764.8567887687778)","(324.57323888471126, 782.7213136124835)","(423.62614502350993, 149.6504652165383)"
589.0,"(785.2913623106299, 764.8553470013444)","(324.63746783746245, 782.4797051655523)","(423.77783714050815, 149.45174556063932)"
590.0,"(785.5413581532086, 764.853905233911)","(324.70169679021365, 782.2380967186211)","(423.9295292575064, 149.25302590474035)"
591.0,"(785.7913539957874, 764.8524634664775)","(324.76592574296484, 781.9964882716899)","(424.0812213745046, 149.0543062488414)"
592.0,"(786.0413498383662, 764.851021699044)","(324.83015469571603, 781.7548798247587)","(424.2329134915028, 148.85558659294247)"
593.0,"(786.2913456809449, 764.8495799316106)","(324.8943836484672, 781.5132713778276)","(424.38460560850103, 148.6568669370435)"
594.0,"(786.5413415235237, 764.8481381641772)","(324.9586126012184, 781.2716629308964)","(424.53629772549925, 148.45814728114453)"
595.0,"(786.7913373661024, 764.8466963967437)","(325.0228415539696, 781.0300544839652)","(424.6879898424975, 148.25942762524556)"
596.0,"(787.0413332086812, 764.8452546293103)","(325.0870705067208, 780.788446037034)","(424.8396819594957, 148.0607079693466)"
597.0,"(787.2913290512599, 764.8438128618768)","(325.151299459472, 780.5468375901028)","(424.9913740764939, 147.86198831344765)"
598.0,"(787.5413248938387, 764.8423710944434)","(325.2155284122232, 780.3052291431716)","(425.14306619349213, 147.6632686575487)"
599.0,"(787.7913207364174, 764.8409293270099)","(325.2797573649744, 780.0636206962404)","(425.29475831049035, 147.46454900164974)"
600.0,"(788.0413165789962, 764.8394875595765)","(325.3439863177256, 779.8220122493092)","(425.44645042748857, 147.26582934575077)"
601.0,"(788.291312421575, 764.838045792143)","(325.4082152704768, 779.580403802378)","(425.5981425444868, 147.06710968985183)"
602.0,"(788.5413082641537, 764.8366040247096)","(325.47244422322797, 779.3387953554468)","(425.749834661485, 146.86839003395286)"
603.0,"(788.7913041067325, 764.8351622572761)","(325.53667317597916, 779.0971869085156)","(425.90152677848323, 146.66967037805392)"
604.0,"(789.0412999493112, 764.8337204898427)","(325.60090212873035, 778.8555784615844)","(426.05321889548145, 146.47095072215495)"
605.0,"(789.29129579189, 764.8322787224092)","(325.66513108148155, 778.6139700146532)","(426.20491101247967, 146.27223106625598)"
606.0,"(789.5412916344687, 764.8308369549758)","(325.72936003423274, 778.372361567722)","(426.3566031294779, 146.073511410357)"
607.0,"(789.7912874770475, 764.8293951875423)","(325.79358898698393, 778.1307531207908)","(426.5082952464761, 145.87479175445807)"
608.0,"(790.0412833196262, 764.8279534201089)","(325.8578179397351, 777.8891446738596)","(426.65998736347433, 145.67607209855913)"
609.0,"(790.291279162205, 764.8265116526754)","(325.9220468924863, 777.6475362269284)","(426.81167948047255, 145.47735244266016)"
610.0,"(790.5412750047838, 764.825069885242)","(325.9862758452375, 777.4059277799972)","(426.96337159747077, 145.2786327867612)"
611.0,"(790.7912708473625, 764.8236281178085)","(326.0505047979887, 777.164319333066)","(427.115063714469, 145.07991313086225)"
612.0,"(791.0412666899413, 764.8221863503751)","(326.1147337507399, 776.9227108861348)","(427.2667558314672, 144.88119347496328)"
613.0,"(791.29126253252, 764.8207445829416)","(326.1789627034911, 776.6811024392036)","(427.4184479484654, 144.68247381906434)"
614.0,"(791.5412583750988, 764.8193028155082)","(326.2431916562423, 776.4394939922724)","(427.57014006546365, 144.48375416316537)"
615.0,"(791.7912542176775, 764.8178610480747)","(326.3074206089935, 776.1978855453413)","(427.72183218246187, 144.2850345072664)"
616.0,"(792.0412500602563, 764.8164192806413)","(326.3716495617447, 775.95627709841)","(427.8735242994601, 144.08631485136743)"
617.0,"(792.291245902835, 764.8149775132079)","(326.43587851449587, 775.7146686514789)","(428.0252164164583, 143.8875951954685)"
618.0,"(792.5412417454138, 764.8135357457744)","(326.50010746724706, 775.4730602045477)","(428.1769085334565, 143.68887553956952)"
619.0,"(792.7912375879926, 764.812093978341)","(326.56433641999826, 775.2314517576165)","(428.32860065045475, 143.49015588367058)"
620.0,"(793.0412334305713, 764.8106522109075)","(326.62856537274945, 774.9898433106853)","(428.48029276745297, 143.2914362277716)"
621.0,"(793.2912292731501, 764.8092104434741)","(326.69279432550064, 774.7482348637541)","(428.6319848844512, 143.09271657187264)"
622.0,"(793.5412251157288, 764.8077686760406)","(326.75702327825184, 774.5066264168229)","(428.7836770014494, 142.8939969159737)"
623.0,"(793.7912209583076, 764.8063269086072)","(326.82125223100303, 774.2650179698917)","(428.9353691184476, 142.69527726007476)"
624.0,"(794.0412168008863, 764.8048851411737)","(326.8854811837542, 774.0234095229605)","(429.08706123544584, 142.4965576041758)"
625.0,"(794.2912126434651, 764.8034433737403)","(326.9497101365054, 773.7818010760293)","(429.23875335244406, 142.29783794827682)"
626.0,"(794.5412084860438, 764.8020016063068)","(327.0139390892566, 773.5401926290981)","(429.3904454694423, 142.09911829237785)"
627.0,"(794.7912043286226, 764.8005598388734)","(327.0781680420078, 773.2985841821669)","(429.5421375864405, 141.9003986364789)"
628.0,"(795.0412001712014, 764.7991180714399)","(327.142396994759, 773.0569757352357)","(429.6938297034387, 141.70167898057994)"
629.0,"(795.2911960137801, 764.7976763040065)","(327.2066259475102, 772.8153672883045)","(429.8453605549215, 141.50317058567705)"
630.0,"(795.5411918563589, 764.796234536573)","(327.2708549002614, 772.5737588413733)","(429.99613375214693, 141.30565473274868)"
631.0,"(795.7911876989376, 764.7947927691396)","(327.3350838530126, 772.3321503944421)","(430.1461530833862, 141.10912645908493)"
632.0,"(796.0411835415164, 764.7933510017061)","(327.39931280576377, 772.0905419475109)","(430.29542231796927, 140.9135808267895)"
633.0,"(796.2911793840951, 764.7919092342727)","(327.46354175851496, 771.8489335005797)","(430.4439452063794, 140.71901292265557)"
634.0,"(796.5411752266739, 764.7904674668392)","(327.52777071126616, 771.6073250536485)","(430.5917254803475, 140.5254178580423)"
635.0,"(796.7911710692526, 764.7890256994058)","(327.59199966401735, 771.3657166067173)","(430.7387668529458, 140.3327907687521)"
636.0,"(797.0411669118314, 764.7875839319723)","(327.65622861676854, 771.1241081597861)","(430.88507301868106, 140.14112681490832)"
637.0,"(797.2911627544102, 764.7861421645389)","(327.72045756951974, 770.882499712855)","(431.03064765358766, 139.95042118083379)"
638.0,"(797.5411585969889, 764.7847003971054)","(327.78468652227093, 770.6408912659238)","(431.17549441531975, 139.7606690749296)"
639.0,"(797.7911544395677, 764.783258629672)","(327.8489154750221, 770.3992828189926)","(431.31961694324315, 139.57186572955496)"
640.0,"(798.0411502821464, 764.7818168622385)","(327.9131444277733, 770.1576743720614)","(431.46301885852694, 139.3840064009072)"
641.0,"(798.2911461247252, 764.7803750948051)","(327.9773733805245, 769.9160659251302)","(431.6057037642343, 139.19708636890266)"
642.0,"(798.5411419673039, 764.7789333273716)","(328.0416023332757, 769.674457478199)","(431.7476752454131, 139.01110093705816)"
643.0,"(798.7911378098827, 764.7774915599382)","(328.1058312860269, 769.4328490312678)","(431.88893686918607, 138.82604543237287)"
644.0,"(799.0411336524614, 764.7760497925048)","(328.1700602387781, 769.1912405843366)","(432.02949218484014, 138.641915205211)"
645.0,"(799.2911294950402, 764.7746080250713)","(328.2342891915293, 768.9496321374054)","(432.1693447239159, 138.45870562918495)"
646.0,"(799.541125337619, 764.7731662576379)","(328.2985181442805, 768.7080236904742)","(432.3084980002963, 138.27641210103903)"
647.0,"(799.7911211801977, 764.7717244902044)","(328.3627470970317, 768.466415243543)","(432.44695551029486, 138.09503004053383)"
648.0,"(800.0411170227765, 764.770282722771)","(328.42697604978287, 768.2248067966118)","(432.5847207327434, 137.91455489033115)"
649.0,"(800.2911128653552, 764.7688409553375)","(328.49120500253406, 767.9831983496806)","(432.7217971290797, 137.7349821158795)"
650.0,"(800.541108707934, 764.7673991879041)","(328.55543395528525, 767.7415899027494)","(432.8581881434343, 137.5563072053001)"
651.0,"(800.7911045505127, 764.7659574204706)","(328.61966290803645, 767.4999814558182)","(432.9938972027171, 137.3785256692736)"
652.0,"(801.0411003930915, 764.7645156530372)","(328.68389186078764, 767.258373008887)","(433.1289277167035, 137.20163304092725)"
653.0,"(801.2910962356702, 764.7630738856037)","(328.74812081353883, 767.0167645619558)","(433.26328307812, 137.0256248757226)"
654.0,"(801.541092078249, 764.7616321181703)","(328.81234976629, 766.7751561150246)","(433.3969666627294, 136.850496751344)"
655.0,"(801.7910879208277, 764.7601903507368)","(328.8765787190412, 766.5335476680934)","(433.52998182941576, 136.67624426758726)"
656.0,"(802.0410837634065, 764.7587485833034)","(328.9408076717924, 766.2919392211622)","(433.6623319202687, 136.50286304624933)"
657.0,"(802.2910796059853, 764.7573068158699)","(329.0050366245436, 766.050330774231)","(433.79402026066737, 136.3303487310181)"
658.0,"(802.541075448564, 764.7558650484365)","(329.0692655772948, 765.8087223272998)","(433.92505015936405, 136.158696987363)"
659.0,"(802.7910712911428, 764.754423281003)","(329.133494530046, 765.5671138803687)","(434.0554249085672, 135.98790350242618)"
660.0,"(803.0410671337215, 764.7529815135696)","(329.1977234827972, 765.3255054334375)","(434.18514778402437, 135.81796398491406)"
661.0,"(803.2910629763003, 764.7515397461361)","(329.2619524355484, 765.0838969865063)","(434.31422204510426, 135.64887416498948)"
662.0,"(803.541058818879, 764.7500979787027)","(329.3261813882996, 764.8422885395751)","(434.4426509348787, 135.48062979416454)"
663.0,"(803.7910546614578, 764.7486562112692)","(329.39041034105077, 764.6006800926439)","(434.5704376802043, 135.3132266451937)"
664.0,"(804.0410505040365, 764.7472144438358)","(329.45463929380196, 764.3590716457127)","(434.6975854918033, 135.14666051196775)"
665.0,"(804.2910463466153, 764.7457726764023)","(329.51886824655315, 764.1174631987815)","(434.8240975643443, 134.98092720940792)"
666.0,"(804.5410421891941, 764.7443309089689)","(329.58309719930435, 763.8758547518503)","(434.9499770765226, 134.8160225733609)"
667.0,"(804.7910380317728, 764.7428891415354)","(329.64732615205554, 763.6342463049191)","(435.07522719114, 134.6519424604941)"
668.0,"(805.0410338743516, 764.741447374102)","(329.71155510480673, 763.3926378579879)","(435.1998510551843, 134.48868274819162)"
669.0,"(805.2910297169303, 764.7400056066685)","(329.7757840575579, 763.1510294110567)","(435.32385179990837, 134.32623933445066)"
670.0,"(805.5410255595091, 764.7385638392351)","(329.8400130103091, 762.9094209641255)","(435.44723254090883, 134.1646081377784)"
671.0,"(805.7910214020878, 764.7371220718017)","(329.9042419630603, 762.6678125171943)","(435.5699963782043, 134.00378509708952)"
672.0,"(806.0410172446666, 764.7356803043682)","(329.9684709158115, 762.4262040702631)","(435.69214639631326, 133.84376617160407)"
673.0,"(806.2910130872453, 764.7342385369348)","(330.0326998685627, 762.1845956233319)","(435.8136856643317, 133.68454734074606)"
674.0,"(806.5410089298241, 764.7327967695013)","(330.0969288213139, 761.9429871764007)","(435.93461723601, 133.52612460404234)"
675.0,"(806.7910047724029, 764.7313550020679)","(330.1611577740651, 761.7013787294695)","(436.05494414982996, 133.3684939810221)"
676.0,"(807.0410006149816, 764.7299132346344)","(330.2253867268163, 761.4597702825383)","(436.17466942908084, 133.211651511117)"
677.0,"(807.2909964575604, 764.728471467201)","(330.2896156795675, 761.2181618356071)","(436.29379608193545, 133.05559325356143)"
678.0,"(807.5409923001391, 764.7270296997675)","(330.35384463231867, 760.9765533886759)","(436.41232710152576, 132.9003152872936)"
679.0,"(807.7909881427179, 764.7255879323341)","(330.41807358506986, 760.7349449417447)","(436.53026546601814, 132.74581371085713)"
680.0,"(808.0409839852966, 764.7241461649006)","(330.48230253782106, 760.4933364948135)","(436.647614138688, 132.59208464230284)"
681.0,"(808.2909798278754, 764.7227043974672)","(330.54653149057225, 760.2517280478824)","(436.7643760679946, 132.43912421909133)"
682.0,"(808.5409756704541, 764.7212626300337)","(330.61076044332344, 760.0101196009512)","(436.88055418765464, 132.28692859799588)"
683.0,"(808.7909715130329, 764.7198208626003)","(330.67498939607464, 759.76851115402)","(436.9961514167164, 132.1354939550059)"
684.0,"(809.0409673556117, 764.7183790951668)","(330.73921834882583, 759.5269027070888)","(437.1111706596328, 131.98481648523088)"
685.0,"(809.2909631981904, 764.7169373277334)","(330.803447301577, 759.2852942601576)","(437.22561480633465, 131.8348924028047)"
686.0,"(809.5409590407692, 764.7154955602999)","(330.8676762543282, 759.0436858132264)","(437.339486732303, 131.68571794079068)"
687.0,"(809.7909548833479, 764.7140537928665)","(330.9319052070794, 758.8020773662952)","(437.45278929864145, 131.53728935108674)"
688.0,"(810.0409507259267, 764.712612025433)","(330.9961341598306, 758.560468919364)","(437.56552535214826, 131.3896029043313)"
689.0,"(810.2909465685054, 764.7111702579996)","(331.0603631125818, 758.3188604724328)","(437.67769772538753, 131.24265488980964)"
690.0,"(810.5409424110842, 764.7097284905661)","(331.124592065333, 758.0772520255016)","(437.7893092367606, 131.0964416153606)"
691.0,"(810.790938253663, 764.7082867231327)","(331.1888210180842, 757.8356435785704)","(437.9003626905768, 130.9509594072838)"
692.0,"(811.0409340962417, 764.7068449556992)","(331.2530499708354, 757.5940351316392)","(438.0108608771239, 130.80620461024736)"
693.0,"(811.2909299388205, 764.7054031882658)","(331.31727892358657, 757.352426684708)","(438.1208065727383, 130.66217358719612)"
694.0,"(811.5409257813992, 764.7039614208323)","(331.38150787633776, 757.1108182377768)","(438.2302025398746, 130.51886271926014)"
695.0,"(811.790921623978, 764.7025196533989)","(331.44573682908896, 756.8692097908456)","(438.33905152717523, 130.37626840566384)"
696.0,"(812.0409174665567, 764.7010778859654)","(331.50996578184015, 756.6276013439144)","(438.44735626953934, 130.23438706363552)"
697.0,"(812.2909133091355, 764.699636118532)","(331.57419473459134, 756.3859928969832)","(438.5551194881916, 130.09321512831735)"
698.0,"(812.5409091517142, 764.6981943510986)","(331.63842368734254, 756.144384450052)","(438.66234389075066, 129.95274905267576)"
699.0,"(812.790904994293, 764.6967525836651)","(331.70265264009373, 755.9027760031208)","(438.7690321712969, 129.8129853074124)"
700.0,"(813.0409008368717, 764.6953108162317)","(331.7668815928449, 755.6611675561896)","(438.8751870104404, 129.67392038087533)"
701.0,"(813.2908966794505, 764.6938690487982)","(331.8311105455961, 755.4195591092584)","(438.9808110753882, 129.53555077897096)"
702.0,"(813.5408925220293, 764.6924272813648)","(331.8953394983473, 755.1779506623272)","(439.08590702001123, 129.3978730250761)"
703.0,"(813.790888364608, 764.6909855139313)","(331.9595684510985, 754.936342215396)","(439.1904774849112, 129.26088365995074)"
704.0,"(814.0408842071868, 764.6895437464979)","(332.0237974038497, 754.6947337684649)","(439.29452509748666, 129.124579241651)"
705.0,"(814.2908800497655, 764.6881019790644)","(332.0880263566009, 754.4531253215337)","(439.3980524719992, 128.98895634544274)"
706.0,"(814.5408758923443, 764.686660211631)","(332.1522553093521, 754.2115168746025)","(439.5010622096392, 128.85401156371552)"
707.0,"(814.790871734923, 764.6852184441975)","(332.2164842621033, 753.9699084276713)","(439.603556898591, 128.71974150589693)"
708.0,"(815.0408675775018, 764.6837766767641)","(332.2807132148545, 753.7282999807401)","(439.7055391140981, 128.58614279836746)"
709.0,"(815.2908634200805, 764.6823349093306)","(332.34494216760567, 753.4866915338089)","(439.8070114185276, 128.45321208437562)"
710.0,"(815.5408592626593, 764.6808931418972)","(332.40917112035686, 753.2450830868777)","(439.907976361435, 128.32094602395375)"
711.0,"(815.790855105238, 764.6794513744637)","(332.47340007310805, 753.0034746399465)","(440.0084364796278, 128.189341293834)"
712.0,"(816.0408509478168, 764.6780096070303)","(332.53762902585925, 752.7618661930153)","(440.10839429722967, 128.05839458736483)"
713.0,"(816.2908467903956, 764.6765678395968)","(332.60185797861044, 752.5202577460841)","(440.20785232574354, 127.928102614428)"
714.0,"(816.5408426329743, 764.6751260721634)","(332.66608693136163, 752.2786492991529)","(440.3068130641148, 127.79846210135585)"
715.0,"(816.7908384755531, 764.6736843047299)","(332.7303158841128, 752.0370408522217)","(440.40527899879424, 127.66946979084908)"
716.0,"(817.0408343181318, 764.6722425372965)","(332.794544836864, 751.7954324052905)","(440.50325260380026, 127.54112244189483)"
717.0,"(817.2908301607106, 764.670800769863)","(332.8587737896152, 751.5538239583593)","(440.6007363407813, 127.41341682968536)"
718.0,"(817.5408260032893, 764.6693590024296)","(332.9230027423664, 751.3122155114281)","(440.69773265907736, 127.28634974553694)"
719.0,"(817.7908218458681, 764.6679172349961)","(332.9872316951176, 751.0706070644969)","(440.794243995782, 127.15991799680926)"
720.0,"(818.0408176884469, 764.6664754675627)","(333.0514606478688, 750.8289986175657)","(440.89027277580306, 127.03411840682521)"
721.0,"(818.2908135310256, 764.6650337001292)","(333.11568960062, 750.5873901706345)","(440.98582141192406, 126.90894781479109)"
722.0,"(818.5408093736044, 764.6635919326958)","(333.1799185533712, 750.3457817237033)","(441.08089230486445, 126.78440307571714)"
