time,position 0,position 1,position 2
51.0,"(650.7935990032595, 765.6310178805395)","(256.0848241909882, 727.7119281810366)","(342.16747819546595, 256.36292043427767)"
52.0,"(651.0435948458382, 765.629576113106)","(256.27329552657005, 727.87617968229)","(342.31917031246417, 256.1642007783787)"
53.0,"(651.293590688417, 765.6281343456726)","(256.46176686215193, 728.0404311835433)","(342.4708624294624, 255.96548112247976)"
54.0,"(651.5435865309958, 765.6266925782392)","(256.6502381977338, 728.2046826847967)","(342.6225545464606, 255.76676146658082)"
55.0,"(651.7935823735745, 765.6252508108057)","(256.8387095333157, 728.3689341860501)","(342.7742466634588, 255.56804181068188)"
56.0,"(652.0435782161533, 765.6238090433723)","(257.0271808688976, 728.5331856873034)","(342.92593878045705, 255.36932215478294)"
57.0,"(652.293574058732, 765.6223672759388)","(257.21565220447945, 728.6974371885568)","(343.07763089745526, 255.170602498884)"
58.0,"(652.5435699013108, 765.6209255085054)","(257.40412354006133, 728.8616886898102)","(343.2293230144535, 254.97188284298505)"
59.0,"(652.7935657438895, 765.6194837410719)","(257.5925948756432, 729.0259401910636)","(343.3810151314517, 254.7731631870861)"
60.0,"(653.0435615864683, 765.6180419736385)","(257.7810662112251, 729.190191692317)","(343.5327072484499, 254.57444353118717)"
61.0,"(653.293557429047, 765.616600206205)","(257.969537546807, 729.3544431935703)","(343.68439936544814, 254.37572387528823)"
62.0,"(653.5435532716258, 765.6151584387716)","(258.15800888238886, 729.5186946948237)","(343.83609148244636, 254.1770042193893)"
63.0,"(653.7935491142046, 765.6137166713381)","(258.34648021797074, 729.6829461960771)","(343.9877835994446, 253.97828456349035)"
64.0,"(654.0435449567833, 765.6122749039047)","(258.5349515535526, 729.8471976973304)","(344.1394757164428, 253.7795649075914)"
65.0,"(654.2935407993621, 765.6108331364712)","(258.7234228891345, 730.0114491985838)","(344.291167833441, 253.58084525169247)"
66.0,"(654.5435366419408, 765.6093913690378)","(258.9118942247164, 730.1757006998372)","(344.44285995043924, 253.38212559579353)"
67.0,"(654.7935324845196, 765.6079496016043)","(259.10036556029826, 730.3399522010906)","(344.59455206743746, 253.18340593989458)"
68.0,"(655.0435283270983, 765.6065078341709)","(259.28883689588014, 730.504203702344)","(344.7462441844357, 252.98468628399564)"
69.0,"(655.2935241696771, 765.6050660667374)","(259.477308231462, 730.6684552035973)","(344.8979363014339, 252.7859666280967)"
70.0,"(655.5435200122558, 765.603624299304)","(259.6657795670439, 730.8327067048507)","(345.0496284184321, 252.58724697219776)"
71.0,"(655.7935158548346, 765.6021825318705)","(259.8542509026258, 730.9969582061041)","(345.20132053543034, 252.38852731629882)"
72.0,"(656.0435116974134, 765.6007407644371)","(260.04272223820766, 731.1612097073574)","(345.35301265242856, 252.18980766039988)"
73.0,"(656.2935075399921, 765.5992989970036)","(260.23119357378954, 731.3254612086108)","(345.5047047694268, 251.99108800450094)"
74.0,"(656.5435033825709, 765.5978572295702)","(260.4196649093714, 731.4897127098642)","(345.656396886425, 251.792368348602)"
75.0,"(656.7934992251496, 765.5964154621367)","(260.6081362449533, 731.6539642111176)","(345.8080890034232, 251.59364869270306)"
76.0,"(657.0434950677284, 765.5949736947033)","(260.7966075805352, 731.8182157123709)","(345.95978112042144, 251.39492903680411)"
77.0,"(657.2934909103071, 765.5935319272699)","(260.98507891611706, 731.9824672136243)","(346.11147323741966, 251.19620938090517)"
78.0,"(657.5434867528859, 765.5920901598364)","(261.17355025169894, 732.1467187148777)","(346.2631653544179, 250.99748972500623)"
79.0,"(657.7934825954646, 765.590648392403)","(261.3620215872808, 732.3109702161311)","(346.4148574714161, 250.7987700691073)"
80.0,"(658.0434784380434, 765.5892066249695)","(261.5504929228627, 732.4752217173844)","(346.5665495884143, 250.60005041320835)"
81.0,"(658.2934742806221, 765.5877648575361)","(261.7389642584446, 732.6394732186378)","(346.71824170541254, 250.4013307573094)"
82.0,"(658.5434701232009, 765.5863230901026)","(261.92743559402646, 732.8037247198912)","(346.86993382241076, 250.20261110141047)"
83.0,"(658.7934659657797, 765.5848813226692)","(262.11590692960834, 732.9679762211446)","(347.021625939409, 250.00389144551153)"
84.0,"(659.0434618083584, 765.5834395552357)","(262.3043782651902, 733.1322277223979)","(347.1733180564072, 249.8051717896126)"
85.0,"(659.2934576509372, 765.5819977878023)","(262.4928496007721, 733.2964792236513)","(347.3250101734054, 249.60645213371365)"
