time,position 0,position 1,position 2,position 3,position 4,position 5,position 6,position 7,position 8,position 9
1.0,"(1061.9611900956409, 139.03152445596106)","(609.9500009765339, 951.9996875061033)","(483.9702328351285, 285.04017357210296)","(1018.0247391003743, 953.9565491437062)","(208.0496237114774, 199.9938773160127)","(572.0264667815934, 789.9575793744496)","(140.04680919576106, 919.9824244717803)","(260.9695627123004, 734.9603317316046)","(1166.9841886116992, 698.9525658350975)","(1235.9510725107507, 806.9896994759475)"
2.0,"(1061.9492479307792, 139.02088109748615)","(609.9000019530679, 951.9993750122067)","(483.940465670257, 285.0803471442059)","(1018.0494782007486, 953.9130982874124)","(208.09924742295482, 199.98775463202543)","(572.0529335631868, 789.9151587488991)","(140.0936183915221, 919.9648489435606)","(260.9391254246008, 734.9206634632092)","(1166.9683772233984, 698.905131670195)","(1235.9021450215014, 806.9793989518951)"
3.0,"(1061.9641777828485, 138.9680726502997)","(609.8000039061357, 951.9987500244133)","(483.88093134051405, 285.1606942884119)","(1018.0989564014973, 953.8261965748247)","(208.1984948459096, 199.97550926405086)","(572.1058671263736, 789.8303174977983)","(140.18723678304426, 919.9296978871212)","(260.87825084920155, 734.8413269264183)","(1166.9367544467968, 698.81026334039)","(1235.8042900430028, 806.9587979037901)"
4.0,"(1062.0059839305454, 138.87310184154114)","(609.7500048826696, 951.9984375305166)","(483.85116417564257, 285.20086786051485)","(1018.1236955018716, 953.7827457185309)","(208.26428461246337, 200.0004201233895)","(572.132333907967, 789.7878968722479)","(140.2340459788053, 919.9121223589015)","(260.84781356150194, 734.8016586580229)","(1166.920943058496, 698.7628291754875)","(1235.7553625537535, 806.9484973797377)"
5.0,"(1062.0746706565762, 138.73597140151716)","(609.6500068357374, 951.9978125427233)","(483.7916298458996, 285.2812150047208)","(1018.1731737026203, 953.6958440059433)","(208.29660768109636, 200.06247906653172)","(572.1852674711538, 789.7030556211471)","(140.32766437032745, 919.876971302462)","(260.7869389861027, 734.7223221212321)","(1166.8893202818945, 698.6679608456824)","(1235.6575075752548, 806.9278963316327)"
6.0,"(1062.1702422504152, 138.55668406546252)","(609.5962647328662, 951.9782036765321)","(483.7618626810281, 285.3213885768238)","(1018.1772217603027, 953.6298253511053)","(208.2954550117072, 200.16167794725968)","(572.1993513488451, 789.5867389520681)","(140.46809195761065, 919.8242447178029)","(260.6766317774107, 734.650496560792)","(1166.8466352158166, 698.5243316119528)","(1235.5842937436864, 806.9508017644008)"
7.0,"(1062.291060925454, 138.33781687339882)","(609.5887868851078, 951.9396311952091)","(483.70232835128513, 285.40173572102975)","(1018.1358569720453, 953.584727342138)","(208.26081756238216, 200.2980086137331)","(572.1745540517672, 789.4389857715961)","(140.6553287406549, 919.7539426049241)","(260.51689505272554, 734.5862024642659)","(1166.7928903584836, 698.3319409075993)","(1235.5357664221592, 807.0171879540849)"
8.0,"(1062.411879600493, 138.11894968133512)","(609.6275815919824, 951.8821153591749)","(483.67256118641365, 285.4419092931327)","(1018.0490966665011, 953.5605875537599)","(208.19268628616092, 200.4714629055662)","(572.1108440657921, 789.2598350969122)","(140.88937471946025, 919.6660649638254)","(260.3077319417219, 734.5294603433417)","(1166.7280882126872, 698.0907881650211)","(1235.5119709723228, 807.1270291149767)"
9.0,"(1062.5326982755319, 137.90008248927143)","(609.7126571507923, 951.8056764487563)","(483.6130268566707, 285.5222564373387)","(1017.9169582278147, 953.5574435990762)","(208.0910521277937, 200.68203265089124)","(572.0081898231593, 789.049326092021)","(141.1234206982656, 919.5781873227268)","(260.06305199095607, 734.4781600344417)","(1166.663221402423, 697.8493501876311)","(1235.5129528142843, 807.2802993653268)"
10.0,"(1062.6535169505707, 137.68121529720773)","(609.8440218659283, 951.7103347870402)","(483.6017486201188, 285.5895135292174)","(1017.7394591199163, 953.5753331816283)","(207.9781453791141, 200.90508436261433)","(571.8920197356404, 788.8279564672623)","(141.35746667707093, 919.4903096816281)","(259.81837204019024, 734.4268597255416)","(1166.5983545921588, 697.6079122102411)","(1235.5387574869073, 807.4769726925026)"
11.0,"(1062.7743356256096, 137.46234810514403)","(610.0216840582189, 951.5961107629421)","(483.63871901530666, 285.643653093309)","(1017.5166169112953, 953.6142941480184)","(207.8652386304345, 201.12813607433742)","(571.7758496481214, 788.6065868425036)","(141.59151265587627, 919.4024320405294)","(259.5736920894244, 734.3755594166415)","(1166.5334877818946, 697.3664742328511)","(1235.5894307088374, 807.7170229173933)"
12.0,"(1062.8951543006485, 137.24348091308033)","(610.235789813563, 951.4670420776287)","(483.7239305645185, 285.68464765612896)","(1017.2715302903206, 953.663615018035)","(207.7523318817549, 201.3511877860605)","(571.6596795606024, 788.3852172177449)","(141.8255586346816, 919.3145543994308)","(259.3290121386586, 734.3242591077415)","(1166.4686209716303, 697.1250362554612)","(1235.6425424361364, 807.9613160700261)"
13.0,"(1063.0159729756874, 137.02461372101664)","(610.4498955689071, 951.3379733923152)","(483.8573757671011, 285.71246972174777)","(1017.0264436693459, 953.7129358880516)","(207.63942513307532, 201.5742394977836)","(571.5435094730834, 788.1638475929861)","(142.05960461348695, 919.2266767583321)","(259.08433218789276, 734.2729587988414)","(1166.4037541613661, 696.8835982780712)","(1235.6956541634354, 808.205609222659)"
14.0,"(1063.1367916507263, 136.80574652895294)","(610.6640013242512, 951.2089047070018)","(484.03904709270404, 285.7270917472749)","(1016.7813570483712, 953.7622567580681)","(207.52651838439573, 201.79729120950668)","(571.4273393855644, 787.9424779682274)","(142.2936505922923, 919.1387991172335)","(258.8396522371269, 734.2216584899413)","(1166.338887351102, 696.6421603006812)","(1235.7487658907344, 808.4499023752918)"
15.0,"(1063.2576103257652, 136.58687933688924)","(610.8781070795953, 951.0798360216884)","(484.26893697440795, 285.72848611815203)","(1016.5362704273965, 953.8115776280847)","(207.41361163571614, 202.02034292122977)","(571.3111692980455, 787.7211083434687)","(142.52769657109764, 919.0509214761348)","(258.5949722863611, 734.1703581810413)","(1166.2740205408377, 696.4007223232912)","(1235.8018776180334, 808.6941955279246)"
16.0,"(1063.378429000804, 136.36801214482554)","(611.0922128349395, 950.950767336375)","(484.5189029334266, 285.72436066885655)","(1016.2911838064218, 953.8608984981013)","(207.30070488703655, 202.24339463295286)","(571.1949992105265, 787.49973871871)","(142.76174254990298, 918.9630438350362)","(258.35029233559527, 734.1190578721412)","(1166.2091537305735, 696.1592843459013)","(1235.8549893453323, 808.9384886805575)"
17.0,"(1063.499247675843, 136.14914495276184)","(611.3063185902836, 950.8216986510615)","(484.76886889244525, 285.72023521956106)","(1016.0460971854471, 953.9102193681179)","(207.18779813835695, 202.46644634467594)","(571.0788291230075, 787.2783690939513)","(142.99578852870832, 918.8751661939375)","(258.10561238482944, 734.0677575632411)","(1166.1442869203092, 695.9178463685113)","(1235.9081010726313, 809.1827818331903)"
18.0,"(1063.6200663508819, 135.93027776069815)","(611.5204243456277, 950.6926299657481)","(485.0188348514639, 285.7161097702656)","(1015.8010105644724, 953.9595402381344)","(207.07489138967736, 202.68949805639903)","(570.9626590354885, 787.0569994691925)","(143.22983450751366, 918.7872885528388)","(257.8609324340636, 734.016457254341)","(1166.079420110045, 695.6764083911213)","(1235.9612127999303, 809.4270749858232)"
19.0,"(1063.7408850259208, 135.71141056863445)","(611.7345301009718, 950.5635612804347)","(485.26880081048256, 285.7119843209701)","(1015.5559239434978, 954.008861108151)","(206.96198464099777, 202.91254976812212)","(570.8464889479695, 786.8356298444338)","(143.463880486319, 918.6994109117402)","(257.6162524832978, 733.965156945441)","(1166.0145532997808, 695.4349704137313)","(1236.0143245272293, 809.671368138456)"
20.0,"(1063.8617037009597, 135.49254337657075)","(611.948635856316, 950.4344925951212)","(485.5187667695012, 285.7078588716746)","(1015.3108373225231, 954.0581819781676)","(206.84907789231818, 203.1356014798452)","(570.7303188604506, 786.6142602196751)","(143.69792646512434, 918.6115332706415)","(257.37157253253196, 733.9138566365409)","(1165.9496864895166, 695.1935324363413)","(1236.0674362545283, 809.9156612910889)"
