time,position 0,position 1,position 2,position 3,position 4,position 5,position 6,position 7,position 8,position 9,position 10,position 11,position 12,position 13,position 14,position 15,position 16,position 17,position 18,position 19,position 20,position 21,position 22,position 23,position 24,position 25,position 26,position 27,position 28,position 29,position 30,position 31,position 32,position 33,position 34,position 35,position 36,position 37,position 38,position 39,position 40,position 41,position 42,position 43,position 44,position 45,position 46,position 47,position 48,position 49
405.0,"(300.9643283738613, 86.45930334282468)","(522.8009008802846, 225.21188093477542)","(438.9856573714279, 88.53479968255762)","(89.80289229042586, 408.24054668539947)","(337.8549530306396, 471.2430069992992)","(335.42785481346203, 120.91491676273971)","(604.8414173360503, 354.2382136594339)","(337.338211768015, 84.7780362358496)","(592.0329455534483, 114.92316979052072)","(719.1718735838743, 307.56453447685135)","(505.622222334569, 262.89440241809564)","(355.0629333299597, 389.04968894665245)","(230.55234512334104, 414.5111855586259)","(469.47793983795015, 55.621103938466526)","(430.3505153588377, 125.52080732002179)","(675.8427753752441, 140.76572372015613)","(232.6830432776203, 77.214429278066)","(248.85420256457488, 80.73346197383951)","(723.5665582900886, 89.76983932077263)","(742.7021791190034, 252.4338291864913)","(577.751084308724, 424.1567357404082)","(101.19230331983754, 138.9680891603097)","(282.6669165314269, 339.8672554128474)","(610.1754289009658, 258.7272680689896)","(763.7880455099436, 61.30820598944798)","(474.35069216825156, 160.38621268821979)","(676.0266425959767, 395.5616453409184)","(556.9438392199229, 105.355606163363)","(779.6272851979851, 141.84339481732965)","(672.3762558574412, 77.24262320042253)","(553.4304984065952, 327.43517009271125)","(379.9331798438383, 269.68027073533295)","(312.49073505872457, 177.76189843321868)","(281.45661782906103, 434.0184171083545)","(505.28507998221727, 409.5905489514214)","(67.43982290888252, 318.86793372586607)","(528.7820990917056, 67.575176831839)","(774.6586424885481, 188.55954734852924)","(453.88324189971775, 334.80070286821706)","(175.84023547072456, 178.05953325023114)","(568.7805207325548, 355.3380925744541)","(759.7622608046319, 301.3933678361889)","(125.93618437130428, 153.74100265452736)","(256.3596011449603, 141.732931014086)","(523.3409708696042, 389.0453354619272)","(638.7282028210241, 49.07668374528931)","(419.0548350934915, 356.92332665329286)","(757.5079147143591, 436.32459610747327)","(669.9326589652547, 473.6436264098857)","(216.58257539747646, 139.73180038797796)"
406.0,"(300.98544931035, 86.50462338300382)","(522.8311948233004, 225.11657995358135)","(438.80311812117884, 88.70561953538073)","(89.60171575759104, 408.3889650219909)","(337.7856782654864, 471.2467919643027)","(335.5159713980521, 120.96219749370043)","(604.9022102493701, 354.23702259113674)","(337.38712823195203, 84.93168347471426)","(592.1767739606246, 115.12765301547844)","(719.171014215955, 307.5117118044671)","(505.6445404176227, 262.9391450506602)","(355.1576186633099, 389.2694405019192)","(230.60458339772433, 414.4136296308328)","(469.42840096702474, 55.70797107993807)","(430.2837627820435, 125.60320328342168)","(676.0594416585731, 140.8904462989797)","(232.60071312116844, 77.45048381697303)","(248.8024983504443, 80.81871789025155)","(723.5487254986381, 89.82599012416877)","(742.7086682234084, 252.49666004055885)","(577.7986695540029, 424.0687832280408)","(100.99134180323834, 138.99824871450815)","(282.66858194876977, 339.95791913578313)","(610.4243516237691, 258.7504516423163)","(763.8091052823938, 61.39166495950074)","(474.3462405019155, 160.3999620860871)","(676.0915093829968, 395.40883711421384)","(556.9487596636181, 105.60555773714049)","(779.5403768298553, 142.07780244422995)","(672.224374578154, 77.37141008442042)","(553.3320623108293, 327.4527864217943)","(379.76795227775995, 269.4926545009399)","(312.46828138343096, 177.81308894105257)","(281.38433473991574, 434.17832502281277)","(505.33865458230616, 409.7325962066643)","(67.5076237943381, 318.8335940572367)","(528.7906226351498, 67.62444496765877)","(774.5053492761054, 188.5167496117866)","(453.7254791973417, 334.9946382433785)","(175.71603429337094, 178.23923558398)","(568.7650541964424, 355.29054484831835)","(759.7834495006088, 301.2714009970079)","(125.71047371341305, 153.84849543993323)","(256.4028031392355, 141.77926635901557)","(523.3061728318714, 389.0094314709242)","(638.9721708989174, 49.13126924674398)","(418.834560918024, 356.8637100200264)","(757.6714267197387, 436.5137093648)","(670.0279956704285, 473.7554082778363)","(216.49488576701899, 139.68176262616757)"
407.0,"(301.0276911833275, 86.59526346336209)","(522.8575482685742, 225.0711234553071)","(438.62057887092976, 88.87643938820385)","(89.40053922475622, 408.5373833585823)","(337.716749874159, 471.2505580044812)","(335.56002969034716, 120.98583785918079)","(604.8556273527483, 354.218855760309)","(337.4729302249292, 85.11908656858851)","(592.3206023678009, 115.33213624043617)","(719.1701591448752, 307.4591532454448)","(505.68917658373, 263.02863031578937)","(355.25183056999333, 389.48809329940957)","(230.6565604807357, 414.31656148267865)","(469.40363153156204, 55.75140465067384)","(430.21734396813326, 125.68518726700457)","(676.2761079419021, 141.01516887780326)","(232.51838296471658, 77.68653835588006)","(248.70080835413708, 80.90278150628605)","(723.5309818711448, 89.88186017354792)","(742.7151248822913, 252.55917674035607)","(577.7979616583788, 423.99378341970424)","(100.79138509422215, 139.0282574709356)","(282.67023903902594, 340.04812954010424)","(610.4211636251928, 258.8003499054632)","(763.8300597559819, 61.47470663470323)","(474.38812204483276, 160.43250599699107)","(676.1560518360818, 395.25679292864277)","(556.9536801073134, 105.85550931091797)","(779.4534684617255, 142.31221007113024)","(672.0732527052631, 77.49955303399831)","(553.2796675520215, 327.4509041537197)","(379.6027247116816, 269.3050382665469)","(312.4459399765138, 177.8640234963473)","(281.31241306621615, 434.3374333976987)","(505.3919613093946, 409.873933225631)","(67.57508567536641, 318.7994260869505)","(528.8076697220381, 67.72298123929832)","(774.3528225297249, 188.47416586372765)","(453.5677164949657, 335.18857361854)","(175.5924541219041, 178.4180394060601)","(568.7341211242175, 355.1954493960468)","(759.8045322531057, 301.15004399202286)","(125.48476305552182, 153.95598822533907)","(256.4457891235393, 141.8253700272205)","(523.2365767564058, 388.9376234889182)","(639.2161389768107, 49.18585474819866)","(418.6153881134339, 356.80439146992626)","(757.8349387251184, 436.7028226221267)","(670.1228556920763, 473.8666312364471)","(216.3615616955824, 139.61129210153555)"
408.0,"(301.0488121198162, 86.64058350354122)","(522.8726921000607, 225.02347196668492)","(438.4380396206807, 89.04725924102696)","(89.1993626919214, 408.6858016951737)","(337.6481661247882, 471.2543052144588)","(335.64814627493723, 121.03311859014151)","(604.7624615595048, 354.18252209865346)","(337.59339252116456, 85.33815011002272)","(592.4644307749772, 115.5366194653939)","(719.1693083491508, 307.40685747921754)","(505.71149466678366, 263.07337294835395)","(355.3455714171434, 389.7056528329125)","(230.70827767833202, 414.2199786752653)","(469.35409266063664, 55.838271792145385)","(430.1512572482926, 125.76676133066954)","(676.4927742252311, 141.13989145662683)","(232.43605280826472, 77.92259289478709)","(248.7250566750363, 80.94650814500397)","(723.5133269617891, 89.93745087268019)","(742.7215492578798, 252.6213808566543)","(577.7490230834755, 423.93196699394883)","(100.59242816875104, 139.05811618358095)","(282.6718878438308, 340.13788889240374)","(610.4147876280401, 258.900146431757)","(763.850909457202, 61.557333101529714)","(474.4763378848153, 160.4838417389785)","(676.2202715769014, 395.10550896399957)","(556.9586005510087, 106.10546088469545)","(779.3665600935957, 142.54661769803053)","(671.9228864417369, 77.62705526882831)","(553.2304498991747, 327.4597145253497)","(379.4374971456033, 269.11742203215385)","(312.4237102766312, 177.91470337886557)","(281.2408510008851, 434.4957462307102)","(505.38386840325325, 409.8245925236681)","(67.64221024698958, 318.7654289565158)","(528.8744225624516, 67.81610104839402)","(774.2010584170763, 188.43179503440902)","(453.40995379258965, 335.38250899370144)","(175.46949185129458, 178.5959492090298)","(568.7186545881051, 355.14790166991105)","(759.8255095918402, 301.0292937720628)","(125.2590523976306, 154.0634810107449)","(256.4885601779216, 141.87124317708438)","(523.189307928322, 388.91055356704385)","(639.460107054704, 49.24044024965333)","(418.3973111728667, 356.74536951257664)","(757.998450730498, 436.8919358794534)","(670.217241413616, 473.97729808026486)","(216.18260186409333, 139.5203917603495)"
409.0,"(301.09105399279366, 86.73122358389949)","(522.9029797630337, 224.9281689894406)","(438.2555003704316, 89.21807909385008)","(88.99818615908657, 408.83422003176514)","(337.57992529416424, 471.2580336883865)","(335.7354447671441, 121.13039262790278)","(604.715878662883, 354.1643552678257)","(337.7138548173999, 85.55721365145693)","(592.6082591821536, 115.74110269035162)","(719.168461807405, 307.3548231918214)","(505.75613083289096, 263.1628582134831)","(355.43884356005765, 389.92212456874796)","(230.75973628994038, 414.12387878188895)","(469.32932322517394, 55.881705362881156)","(430.0855009620511, 125.84792752401619)","(676.7094405085601, 141.2646140354504)","(232.35372265181286, 78.15864743369411)","(248.77355331683478, 81.03396142243982)","(723.4957603269801, 89.99276361831679)","(742.7279415115904, 252.68327395237102)","(577.6752779680581, 423.8773071589791)","(100.39446602790728, 139.08782560266303)","(282.67352840461166, 340.2271994479417)","(610.4562806322613, 258.98550139624217)","(763.871654909916, 61.639546436022066)","(474.6108891101867, 160.5539666283884)","(676.2841702190169, 394.95498141917955)","(556.9635209947039, 106.35541245847293)","(779.2796517254659, 142.78102532493082)","(671.7732720095282, 77.75391999248417)","(553.1320145934812, 327.47733526860964)","(379.27226957952496, 268.9298057977608)","(312.40159172524807, 177.96512986197123)","(281.16964674588064, 434.65326749955665)","(505.3676825909705, 409.7259111197424)","(67.70899919575463, 318.7316018117332)","(528.9908769588365, 67.9037660124841)","(774.0500531249909, 188.38963605923698)","(453.2521910902136, 335.5764443688629)","(175.3471443920381, 178.77296946298466)","(568.6877215158802, 355.0528062176395)","(759.8463820438809, 300.9091473032025)","(125.03334173973937, 154.17097379615078)","(256.531117377032, 141.91688696119897)","(523.1644200314563, 388.9281948732651)","(639.7040751325974, 49.29502575110801)","(418.1803246170024, 356.6866426650138)","(758.1619627358776, 437.0810491367801)","(670.3111552065479, 474.0874115898635)","(215.9586207356982, 139.40934017718723)"
410.0,"(301.1121749292824, 86.77654362407863)","(522.9181235945202, 224.88051750081843)","(438.0729611201825, 89.3888989466732)","(88.79700962625175, 408.98263836835656)","(337.5120256676934, 471.26174351994456)","(335.8218435919013, 121.27765857099361)","(604.6227128696395, 354.1280216061702)","(337.8343171136353, 85.77627719289114)","(592.7520875893299, 115.94558591530935)","(719.167619498368, 307.3030490758623)","(505.77844891594464, 263.2076008460477)","(355.53164934225737, 390.13751394590423)","(230.8109376084907, 414.0282593879795)","(469.27978435424853, 55.9685725043527)","(430.02007345724087, 125.9286878863961)","(676.9261067918891, 141.38933661427396)","(232.271392495361, 78.39470197260114)","(248.797801637734, 81.07768806115774)","(723.4782815253452, 90.0477998002252)","(742.7343018040325, 252.74485758260917)","(577.6019015782178, 423.8229206231842)","(100.19749369776775, 139.11738647464972)","(282.6751607625886, 340.316063450702)","(610.4530588311479, 259.0353974882493)","(763.8922966353664, 61.721348703841954)","(474.7917768102196, 160.64287797877276)","(676.3477493679218, 394.80520651208366)","(556.9684414383992, 106.6053640322504)","(779.1927433573361, 143.01543295183112)","(671.6244056494805, 77.88015039252176)","(553.0796383191796, 327.47549924884873)","(379.10704201344663, 268.7421895633678)","(312.3795837666218, 178.0153042126614)","(281.09879851215123, 434.8100011620589)","(505.35958968482913, 409.67657041777954)","(67.77545419977585, 318.6979438026745)","(529.1570286777413, 67.9859376957385)","(773.8998028593659, 188.3476878789408)","(453.0944283878376, 335.77037974402435)","(175.2254086700779, 178.94910461566974)","(568.6722549797678, 355.00525849150375)","(759.8671501336615, 300.7896015666865)","(124.80763108184814, 154.27846658155664)","(256.57346179014684, 141.96230252639296)","(523.1620019442756, 388.9905028074396)","(639.9480432104907, 49.34961125256268)","(417.96442299391737, 356.6282094516887)","(758.3254747412573, 437.2701623941068)","(670.4045994305152, 474.1969745319142)","(215.73463960730305, 139.29828859402497)"
411.0,"(301.15441680225985, 86.8671837044369)","(522.9484112574933, 224.7852145235741)","(437.89042186993345, 89.55971879949631)","(88.59583309341693, 409.131056704948)","(337.44446553935495, 471.2654348023448)","(335.90726078934324, 121.47491487723389)","(604.5782726696324, 354.1029047427992)","(337.95477940987064, 85.99534073432535)","(592.8959159965062, 116.15006914026708)","(719.1667814008762, 307.25153383048297)","(505.82308508205193, 263.29708611117684)","(355.6239910955461, 390.3518263761747)","(230.86188292044824, 413.9331180910396)","(469.27681907185035, 56.07363032617709)","(429.95497308995465, 126.00904444696413)","(677.1427730752181, 141.51405919309752)","(232.18906233890914, 78.63075651150817)","(248.84629827953248, 81.16514133859359)","(723.4608901177185, 90.10256080122409)","(742.7406302950124, 252.80613329469614)","(577.5288920703267, 423.76880602006827)","(100.00150622927892, 139.14679954227648)","(282.6767849587756, 340.4044831334485)","(610.4466152289212, 259.1351896722636)","(763.9128351521896, 61.80274196032274)","(475.0176515140912, 160.75002562527476)","(676.4110106210821, 394.65618047952324)","(556.9733618820944, 106.85531560602789)","(779.1058349892063, 143.2498405787314)","(671.4762836212332, 78.00574964055915)","(553.0733286432514, 327.45422438873436)","(378.9418144473683, 268.55457332897475)","(312.3576858477887, 178.0652276915981)","(281.0283045195905, 434.9659511562486)","(505.3434038725464, 409.57788901385385)","(67.84157692877697, 318.66445408366116)","(529.3728734466715, 68.06257758189125)","(773.7503038450691, 188.3059494395461)","(452.93666568546155, 335.9643151191858)","(175.10428162672753, 179.1243590925914)","(568.6413219075429, 354.9101630392322)","(759.8878143829933, 300.6706535588531)","(124.58192042395692, 154.38595936696248)","(256.6155944811961, 142.00749101376098)","(523.127211304106, 388.95459164821864)","(640.192011288384, 49.404196754017356)","(417.7496008789478, 356.57006840443023)","(758.4889867466369, 437.45927565143353)","(670.4975764333626, 474.30598965925464)","(215.5106584789079, 139.1872370108627)"
412.0,"(301.1755377387486, 86.91250374461603)","(522.9747353893895, 224.7397542029745)","(437.84192442957783, 89.5718842538222)","(88.3946565605821, 409.2794750415394)","(337.3772432116582, 471.26910762833313)","(335.9918692626055, 121.71016241973375)","(604.5825506118001, 354.08903699597255)","(338.075241706106, 86.21440427575956)","(593.0397444036826, 116.3545523652248)","(719.1659474938718, 307.2002761613306)","(505.8584829653394, 263.4357105066457)","(355.7158711400684, 390.5650672442938)","(230.91257350584598, 413.8384525005844)","(469.32043272853184, 56.19686512338819)","(429.8901982245049, 126.0889992247293)","(677.3594393585471, 141.6387817719211)","(232.10673218245728, 78.8668110504152)","(248.84481003811166, 81.25136520578316)","(723.4435856671299, 90.15704799721797)","(742.7469271435373, 252.86710262822265)","(577.4562476099751, 423.71496198996795)","(99.80649869813253, 139.1760655445651)","(282.67840103398174, 340.4924607177812)","(610.4880091827758, 259.2204364711618)","(763.9332709764286, 61.88372825052113)","(475.2435262179628, 160.85717327177676)","(676.4739555679768, 394.5078995771256)","(556.9782823257897, 107.10526717980537)","(779.0189266210765, 143.4842482056317)","(671.328902203127, 78.13072089235635)","(553.024112171429, 327.46304135540987)","(378.77658688129, 268.3669570945817)","(312.33589741854973, 178.1149015531401)","(280.95816299699254, 435.12112140046736)","(505.335310966405, 409.528548311891)","(67.90736904413309, 318.63113181324286)","(529.6116489754646, 68.13664678500282)","(773.6015523258437, 188.26441969234838)","(452.7789029830855, 336.15825049434727)","(174.9837602185939, 179.29873729712844)","(568.6594943136216, 354.80565206782643)","(759.9083753110783, 300.5523002910588)","(124.35620976606569, 154.49345215236832)","(256.65751650879014, 142.05245355869218)","(523.0576300237669, 388.88276932977675)","(640.4359793662774, 49.45878225547203)","(417.53585287455303, 356.51221806240807)","(758.6524987520165, 437.64838890876024)","(670.5900885511958, 474.41445971095834)","(215.28667735051278, 139.07618542770044)"
413.0,"(301.21777961172603, 87.0031438249743)","(522.9970897913688, 224.7441360456946)","(437.74492954886665, 89.596215162474)","(88.19348002774728, 409.4278933781308)","(337.31035699559993, 471.27276209019146)","(336.0764777358678, 121.94540996223361)","(604.5359669008511, 354.07087225335886)","(338.19570400234136, 86.43346781719377)","(593.1835728108589, 116.55903559018253)","(719.1651177564025, 307.1492747805239)","(505.8846260961095, 263.62347093325104)","(355.80729178436803, 390.7772419080723)","(230.96301063831675, 413.7442602380815)","(469.41063067323404, 56.338263183235874)","(429.8257472333824, 126.16855422860566)","(677.5761056418761, 141.76350435074465)","(232.02440202600542, 79.10286558932222)","(248.79333741924341, 81.33633926851114)","(723.4263677387943, 90.21126275723188)","(742.7531925078196, 252.92776711508154)","(577.3839663719252, 423.6613871800181)","(99.61246620464186, 139.20518521684227)","(282.6800090288118, 340.57999841419235)","(610.577226464654, 259.29109117299515)","(763.9536046215464, 61.964309609268525)","(475.46940092183445, 160.96432091827876)","(676.5365857901369, 394.36036007923997)","(556.9832027694849, 107.35521875358285)","(778.9320182529467, 143.718655832532)","(671.1822576921113, 78.25506728789458)","(552.9256792277843, 327.4806752887609)","(378.61135931521164, 268.1793408601887)","(312.314217931457, 178.1643270453744)","(280.8883721820076, 435.27551579346505)","(505.3191251541223, 409.4298669079653)","(67.97283219891243, 318.59797615417665)","(529.6198981156664, 68.18596160717559)","(773.4535445642146, 188.22309759388665)","(452.6211402807095, 336.35218586950873)","(174.8638414175009, 179.4722436106428)","(568.7267780802457, 354.69175630737703)","(759.928833434523, 300.43453878960355)","(124.13049910817446, 154.6009449377742)","(256.6992289262462, 142.0971912908987)","(523.010542971482, 388.8556013471182)","(640.6799474441707, 49.513367756926705)","(417.3231736101803, 356.454656972096)","(758.8160107573962, 437.83750216608695)","(670.6821381084397, 474.52238741240353)","(215.06269622211764, 138.96513384453817)"
414.0,"(301.23890054821476, 87.04846386515344)","(523.0154682661025, 224.79835955775408)","(437.6227589882608, 89.66374543618872)","(87.99230349491246, 409.57631171472224)","(337.24380521062193, 471.27639827974053)","(336.1610862091301, 122.18065750473347)","(604.4427994789531, 354.0345427681315)","(338.1464692509249, 86.44218213030248)","(593.3274012180352, 116.76351881514026)","(719.1642921676205, 307.0985284066213)","(505.9014979769062, 263.86036428083537)","(355.8982553254462, 390.98835569853196)","(231.01319558512517, 413.6505389368911)","(469.5474182547246, 56.49781078147789)","(429.76161849721547, 126.24771145746263)","(677.7927719252051, 141.88822692956822)","(231.94207186955356, 79.33892012822925)","(248.69188093720962, 81.4200431253307)","(723.4092359001003, 90.26520644344572)","(742.7594265452805, 252.98812827950613)","(577.3120465400656, 423.608080244118)","(99.41940387361865, 139.23415929075804)","(282.68160898366773, 340.6670984221214)","(610.5739029484175, 259.3409805931143)","(763.9738365984388, 62.04448806122218)","(475.6952756257061, 161.07146856478076)","(676.5070791635279, 394.31999476013857)","(556.9881232131802, 107.60517032736033)","(778.8451098848169, 143.9530634594323)","(671.0363464036508, 78.3787919514551)","(552.8764627559618, 327.4894922554364)","(378.4461317491333, 267.99172462579565)","(312.2926468417997, 178.21350541014752)","(280.8189303210975, 435.4291382144977)","(505.3110322479809, 409.3805262060024)","(68.03796803791786, 318.5649862734058)","(529.63639639607, 68.2845912515211)","(773.3062768413935, 188.18198210591723)","(452.46337757833345, 336.5461212446702)","(174.7445222104134, 179.64488239258958)","(568.7112843839776, 354.64421742459723)","(759.9491892673503, 300.31736609565553)","(123.90478845028323, 154.70843772318005)","(256.74073278161495, 142.14170533444423)","(522.9860027905471, 388.8730611427184)","(640.923915522064, 49.56795325838138)","(417.1115577421294, 356.39738368723556)","(758.9795227627758, 438.02661542341366)","(670.7737274178976, 474.6297754753415)","(214.8387150937225, 138.8540822613759)"
415.0,"(301.2811424211922, 87.1391039455117)","(523.0298646143814, 224.90242424424693)","(437.475438281156, 89.77448994518632)","(87.79112696207764, 409.72473005131366)","(337.17758618456884, 471.2800162883418)","(336.2452807780844, 122.4147542172098)","(604.3983401280428, 354.00950592744204)","(338.0479997480919, 86.45961075651992)","(593.3723815162172, 116.74168368804055)","(719.1634707067824, 307.0480357645882)","(505.9159713683023, 264.109944971077)","(355.98876404881895, 391.1984139200393)","(231.06312960719956, 413.55728624220666)","(469.72538723858065, 56.673387091910854)","(429.7213374691842, 126.21808986431262)","(678.0094382085341, 142.01294950839178)","(231.8597417131017, 79.57497466713627)","(248.54044111504396, 81.50245635855637)","(723.3921897205997, 90.31888041122849)","(742.7656294125541, 253.0481876381086)","(577.2404863073652, 423.55503984289743)","(99.22730685425056, 139.26298849430427)","(282.6832009387494, 340.7537629300108)","(610.5672559159447, 259.44075943335264)","(763.9939674154466, 62.12426562091607)","(475.9211503295777, 161.17861621128276)","(676.4480659103099, 394.23926412193583)","(556.9930436568754, 107.8551219011378)","(778.7582015166871, 144.18747108633258)","(670.8911646716325, 78.50189799169782)","(552.7780298123171, 327.5071261887874)","(378.280904183055, 267.8041083914026)","(312.2711836075907, 178.2624378830968)","(280.74983566949203, 435.5819925234252)","(505.29484643569816, 409.2818448020767)","(68.10277819772827, 318.53216134203876)","(529.6446455362718, 68.33390607369387)","(773.1597454571865, 188.14107219538764)","(452.3056148759574, 336.74005661983165)","(174.62579959936133, 179.81665798062664)","(568.6802969914413, 354.5491396590376)","(759.9694433210136, 300.20077926517723)","(123.67907779239201, 154.8159305085859)","(256.7820291177069, 142.185996807772)","(522.9512158115554, 388.83714643691945)","(641.1678835999573, 49.622538759836054)","(416.9009999534187, 356.3403967687994)","(759.1430347681554, 438.21572868074037)","(670.864858780808, 474.7366265979648)","(214.61473396532736, 138.74303067821364)"
416.0,"(301.30226335768094, 87.18442398569084)","(523.0402726317202, 225.05632960906897)","(437.3029930327219, 89.92846358120482)","(87.58995042924282, 409.8731483879051)","(337.111698253646, 471.2836162069001)","(336.32905437419396, 122.64768044612376)","(604.3517561481208, 353.9913418746281)","(337.9332715760587, 86.52432210342724)","(593.4623421125812, 116.69801343384113)","(719.1175918553768, 307.0192187207071)","(505.93044475969833, 264.3595256613187)","(356.07882022857484, 391.4074218504391)","(231.11281395916356, 413.4644998109956)","(469.9033562224367, 56.84896340234382)","(429.64077541312173, 126.15884667801258)","(678.2261044918631, 142.13767208721535)","(231.77741155664984, 79.8110292060433)","(248.3390184847891, 81.58355852522399)","(723.3752287719967, 90.37228600917234)","(742.7718012654913, 253.10794669991805)","(577.1692838758285, 423.50226464368296)","(99.0361703199793, 139.29167355183276)","(282.68478493405564, 340.83999411536075)","(610.6084084523529, 259.5258685355303)","(764.0139975783694, 62.20364429281149)","(476.1470250334493, 161.28576385778476)","(676.4185592837009, 394.19889880283444)","(556.9979641005707, 108.10507347491529)","(778.6712931485573, 144.42187871323287)","(670.7467088482744, 78.62438850173933)","(552.7288133404946, 327.51594315546294)","(378.11567661697666, 267.6164921570096)","(312.2498276895527, 178.3111256936813)","(280.6810864911446, 435.7340825608081)","(505.2924866795191, 409.23121379016413)","(68.16726430673963, 318.4995005353286)","(529.6611438166755, 68.43253571803939)","(773.0139467299006, 188.1003668344107)","(452.1478521735814, 336.9339919949931)","(174.5076706013645, 179.9875746907235)","(568.6648032951732, 354.5016007762578)","(759.9895961044085, 300.08477536885135)","(123.45336713450078, 154.92342329399173)","(256.8231189721183, 142.23006682373315)","(522.8816418535719, 388.76531702532145)","(641.4118516778507, 49.67712426129073)","(416.6914949536516, 356.2836947849554)","(759.306546773535, 438.4048419380671)","(670.955534486904, 474.84294346497495)","(214.39075283693222, 138.63197909505138)"
417.0,"(301.3445052306584, 87.27506406604911)","(523.0466861049481, 225.26007515464255)","(437.1206491868426, 90.09949200536279)","(87.388773896408, 410.0215667244965)","(337.0461397623778, 471.2871981258656)","(336.412409102323, 122.87944204389314)","(604.2585881882768, 353.9550137690003)","(337.8023027047426, 86.63632234635467)","(593.5985993250731, 116.67322765302853)","(719.0564994921638, 306.94277238900344)","(505.9449181510944, 264.60910635156034)","(356.168426127432, 391.6153847411869)","(231.16224988936773, 413.3721773119406)","(470.0813252062927, 57.024539712776786)","(429.6004943850905, 126.12922508486257)","(678.4427707751921, 142.26239466603892)","(231.69508140019798, 80.04708374495033)","(248.10221809662755, 81.66371821688092)","(723.3583526281367, 90.42542457912649)","(742.7779422591638, 253.16740696641847)","(577.0984374564493, 423.44975332046454)","(98.84598946837941, 139.3202151840736)","(282.68636100938534, 340.92579414478394)","(610.6973462056199, 259.5962612166153)","(764.0339275904776, 62.28262607134743)","(476.37289973732095, 161.39291150428676)","(676.3595460304829, 394.1181681646317)","(557.002884544266, 108.35502504869277)","(778.5843847804275, 144.65628634013316)","(670.602975304033, 78.74626655923063)","(552.6303803968499, 327.53357708881396)","(377.9504490508983, 267.42887592261656)","(312.22857855110493, 178.3595700652129)","(280.61268105868885, 435.88541214800404)","(505.303939048318, 409.22863717663085)","(68.23142798520593, 318.467003032652)","(529.7273266787583, 68.52555801511913)","(772.8688769962511, 188.05986500023863)","(451.99008947120535, 337.12792737015457)","(174.39013224835767, 180.1576368172699)","(568.6338159026369, 354.4065230106982)","(760.0096481238864, 299.9693514920071)","(123.22765647660955, 155.0309160793976)","(256.86400337725775, 142.2739164896145)","(522.8346910539314, 388.7380767683083)","(641.655819755744, 49.7317097627454)","(416.4830374788834, 356.2272763110306)","(759.4700587789147, 438.5939551953938)","(671.0457568144694, 474.9487287476501)","(214.16677170853708, 138.5209275118891)"
418.0,"(301.3656261671471, 87.32038410622825)","(523.0493877767494, 225.51006055615528)","(436.9383053409634, 90.27052042952076)","(87.18759736357318, 410.1699850610879)","(336.9809090635659, 471.29076213523626)","(336.4953470568114, 123.11004483367367)","(604.2120042083548, 353.9368497161864)","(337.6551111269149, 86.79561766083762)","(593.7811430527288, 116.66735108991504)","(718.9802579518616, 306.8186762678614)","(505.95939154249044, 264.858687041802)","(356.25758399679484, 391.822307817481)","(231.21143863992089, 413.28031642538093)","(470.25929419014875, 57.20011602320975)","(429.519932329028, 126.06998189856253)","(678.6594370585211, 142.38711724486248)","(231.61275124374612, 80.28313828385735)","(247.865417708466, 81.74387790853785)","(723.341560864996, 90.47829745623085)","(742.784052547868, 253.22656993158637)","(577.027945269167, 423.39750455386223)","(98.65675952103751, 139.3486141081532)","(282.6879292043384, 341.01116517406)","(610.834054761554, 259.65189075397905)","(764.0537579525252, 62.36121294099069)","(476.5987744411926, 161.50005915078876)","(676.3300394038739, 394.0778028455303)","(557.0078049879612, 108.60497662247025)","(778.5355225319399, 144.66689203071584)","(670.4599604275128, 78.86753522643448)","(552.5811639250275, 327.54239405548947)","(377.78522148482, 267.2412596882235)","(312.2074356583494, 178.40777221488682)","(280.5446176533954, 436.035985087264)","(505.3291850591907, 409.2741202701123)","(68.2952708452799, 318.4346680174887)","(529.8431897375967, 68.61293424716857)","(772.7245326112698, 188.01956567523743)","(451.8323267688293, 337.321862745316)","(174.2731815871159, 180.32684863318354)","(568.6183222063688, 354.3589841279184)","(760.029599883267, 299.85450473454705)","(123.00194581871833, 155.13840886480344)","(256.90468336037145, 142.31754690716642)","(522.8104150980507, 388.75539940460857)","(641.8997878336373, 49.78629526420008)","(416.27562229148896, 356.17113992947543)","(759.6335707842943, 438.7830684527205)","(671.135528030397, 475.0539851039118)","(213.94279058014195, 138.40987592872685)"
